category,article,citation_link
Culture,Culture,https://search.worldcat.org/oclc/652430995
Culture,Culture,https://books.google.com/books?id=0ZcOAAAAQAAJ&pg=PA273
Culture,Culture,https://search.worldcat.org/oclc/457735057
Culture,Culture,https://web.archive.org/web/20180902230800/https://books.google.com/books?id=0ZcOAAAAQAAJ&pg=PA273
Culture,Culture,https://search.worldcat.org/oclc/47930775
Culture,Culture,https://archive.org/details/interculturalcom0000sorr
Culture,Culture,https://www.academia.edu/9294719
Culture,Culture,https://search.worldcat.org/oclc/942553107
Culture,Culture,https://web.archive.org/web/20170626015736/http://www.academia.edu/9294719/Urban_Sustainability_in_Theory_and_Practice_Circles_of_Sustainability_2015_
Culture,Culture,https://dictionary.cambridge.org/dictionary/english/culture
Culture,Culture,https://web.archive.org/web/20150815114957/http://dictionary.cambridge.org/dictionary/english/culture
Culture,Culture,https://doi.org/10.1016%2Fbs.aesp.2015.03.001
Culture,Culture,https://books.google.com/books?id=g_9dAgAAQBAJ
Culture,Culture,https://web.archive.org/web/20161231020831/https://books.google.com/books?id=g_9dAgAAQBAJ
Culture,Culture,https://arxiv.org/abs/astro-ph/0406390
Culture,Culture,https://doi.org/10.1086%2F426050
Culture,Culture,https://doi.org/10.1016%2Fj.anbehav.2006.12.004
Culture,Culture,https://search.worldcat.org/oclc/25410539
Culture,Culture,https://search.worldcat.org/oclc/944339574
Culture,Culture,https://doi.org/10.1080%2F13668803.2014.981506
Culture,Culture,https://search.worldcat.org/issn/1366-8803
Culture,Culture,https://api.semanticscholar.org/CorpusID:144448501
Culture,Culture,http://anthro.palomar.edu/change/change_2.htm
Culture,Culture,https://web.archive.org/web/20161027181934/http://anthro.palomar.edu/change/change_2.htm
Culture,Culture,https://doi.org/10.1126%2Fscience.282.5393.1446
Culture,Culture,https://search.worldcat.org/issn/0036-8075
Culture,Culture,https://api.semanticscholar.org/CorpusID:128522781
Culture,Culture,https://www.eater.com/2018/3/20/16973532/mcdonalds-starbucks-kfc-china-pizza-hut-growth-sales
Culture,Culture,https://web.archive.org/web/20190330023616/https://www.eater.com/2018/3/20/16973532/mcdonalds-starbucks-kfc-china-pizza-hut-growth-sales
Culture,Culture,https://writings.stephenwolfram.com/2017/05/a-new-kind-of-science-a-15-year-view/
Culture,Culture,https://web.archive.org/web/20210228032350/https://writings.stephenwolfram.com/2017/05/a-new-kind-of-science-a-15-year-view/
Culture,Culture,https://web.archive.org/web/20090123162257/http://www.philosophy.uncc.edu/mleldrid/SAAP/USC/pbt1.html
Culture,Culture,http://www.philosophy.uncc.edu/mleldrid/SAAP/USC/pbt1.html
Culture,Culture,https://search.worldcat.org/oclc/977343058
Culture,Culture,https://todayinsci.com/B/Bastian_Adolf/BastianAdolf.htm
Culture,Culture,https://web.archive.org/web/20170806215336/https://todayinsci.com/B/Bastian_Adolf/BastianAdolf.htm
Culture,Culture,https://web.archive.org/web/20170102111430/http://home.uchicago.edu/~tliron/boas/boas.pdf
Culture,Culture,https://search.worldcat.org/oclc/52888196
Culture,Culture,http://home.uchicago.edu/~tliron/boas/boas.pdf
Culture,Culture,http://www.library.utoronto.ca/utel/nonfiction_u/arnoldm_ca/ca_all.html
Culture,Culture,https://web.archive.org/web/20170106012655/http://www.library.utoronto.ca/utel/nonfiction_u/arnoldm_ca/ca_all.html
Culture,Culture,https://archive.org/details/understandingpop0000shuk_i1i5/page/5
Culture,Culture,https://search.worldcat.org/oclc/245910934
Culture,Culture,https://search.worldcat.org/oclc/641869481
Culture,Culture,https://search.worldcat.org/oclc/980557304
Culture,Culture,https://web.archive.org/web/20200122150855/https://www.lexico.com/definition/anthropology
Culture,Culture,http://www.lexico.com/definition/anthropology
Culture,Culture,https://www.britannica.com/science/anthropology
Culture,Culture,https://web.archive.org/web/20161030210125/https://www.britannica.com/science/anthropology
Culture,Culture,http://www.americananthro.org/AdvanceYourCareer/Content.aspx?ItemNumber=2150
Culture,Culture,https://web.archive.org/web/20161026173505/http://www.americananthro.org/AdvanceYourCareer/Content.aspx?ItemNumber=2150
Culture,Culture,https://search.worldcat.org/oclc/731048150
Culture,Culture,https://search.worldcat.org/oclc/921994909
Culture,Culture,https://search.worldcat.org/oclc/951272809
Culture,Culture,https://doi.org/10.2307%2F271027
Culture,Culture,https://search.worldcat.org/issn/0081-1750
Culture,Culture,https://www.jstor.org/stable/271027
Culture,Culture,https://archive.org/details/karlmarxhislifee00berl/page/130
Culture,Culture,https://search.worldcat.org/oclc/611127754
Culture,Culture,https://search.worldcat.org/oclc/906396817
Culture,Culture,https://search.worldcat.org/oclc/780459348
Culture,Culture,https://search.worldcat.org/oclc/937991291
Culture,Culture,https://search.worldcat.org/oclc/883364628
Culture,Culture,https://search.worldcat.org/oclc/872436352
Culture,Culture,http://www.thepress.purdue.edu/series/comparative-cultural-studies
Culture,Culture,https://archive.today/20120805230001/http://www.thepress.purdue.edu/series/comparative-cultural-studies
Culture,Culture,https://archive.org/details/qualitativecommu00lind/page/60
Culture,Culture,https://search.worldcat.org/oclc/780825710
Culture,Culture,https://www.thecanadianencyclopedia.ca/en/article/marxism
Culture,Culture,https://web.archive.org/web/20191007044011/https://www.thecanadianencyclopedia.ca/en/article/marxism
Culture,Culture,https://books.google.com/books?id=gX-kksNNdFIC
Culture,Culture,https://search.worldcat.org/oclc/949857570
Culture,Culture,https://www.oxfordbibliographies.com/view/document/obo-9780190221911/obo-9780190221911-0063.xml
Culture,Culture,https://web.archive.org/web/20190712072845/https://www.oxfordbibliographies.com/view/document/obo-9780190221911/obo-9780190221911-0063.xml
Culture,Culture,https://doi.org/10.1016%2Fj.socec.2013.02.011
Culture,Culture,https://books.google.com/books?id=Zp0VRObB_C4C&dq=%22super+culture%22+definition&pg=PA105
