category,article_name,citation_link,is_archive_link
Culture,Culture,https://search.worldcat.org/oclc/652430995,False
Culture,Culture,https://books.google.com/books?id=0ZcOAAAAQAAJ&pg=PA273,False
Culture,Culture,https://search.worldcat.org/oclc/457735057,False
Culture,Culture,https://web.archive.org/web/20180902230800/https://books.google.com/books?id=0ZcOAAAAQAAJ&pg=PA273,True
Culture,Culture,https://search.worldcat.org/oclc/47930775,False
Culture,Culture,https://archive.org/details/interculturalcom0000sorr,False
Culture,Culture,https://academia.edu/9294719,False
Culture,Culture,https://search.worldcat.org/oclc/942553107,False
Culture,Culture,https://web.archive.org/web/20170626015736/http://academia.edu/9294719/Urban_Sustainability_in_Theory_and_Practice_Circles_of_Sustainability_2015_,True
Culture,Culture,https://dictionary.cambridge.org/dictionary/english/culture,False
Culture,Culture,https://web.archive.org/web/20150815114957/http://dictionary.cambridge.org/dictionary/english/culture,True
Culture,Culture,https://doi.org/10.1016%2Fbs.aesp.2015.03.001,False
Culture,Culture,https://books.google.com/books?id=g_9dAgAAQBAJ,False
Culture,Culture,https://web.archive.org/web/20161231020831/https://books.google.com/books?id=g_9dAgAAQBAJ,True
Culture,Culture,https://arxiv.org/abs/astro-ph/0406390,False
Culture,Culture,https://doi.org/10.1086%2F426050,False
Culture,Culture,https://doi.org/10.1016%2Fj.anbehav.2006.12.004,False
Culture,Culture,https://search.worldcat.org/oclc/25410539,False
Culture,Culture,https://search.worldcat.org/oclc/944339574,False
Culture,Culture,https://doi.org/10.1080%2F13668803.2014.981506,False
Culture,Culture,https://search.worldcat.org/issn/1366-8803,False
Culture,Culture,https://api.semanticscholar.org/CorpusID:144448501,False
Culture,Culture,http://anthro.palomar.edu/change/change_2.htm,False
Culture,Culture,https://web.archive.org/web/20161027181934/http://anthro.palomar.edu/change/change_2.htm,True
Culture,Culture,https://doi.org/10.1126%2Fscience.282.5393.1446,False
Culture,Culture,https://search.worldcat.org/issn/0036-8075,False
Culture,Culture,https://api.semanticscholar.org/CorpusID:128522781,False
Culture,Culture,https://eater.com/2018/3/20/16973532/mcdonalds-starbucks-kfc-china-pizza-hut-growth-sales,False
Culture,Culture,https://web.archive.org/web/20190330023616/https://eater.com/2018/3/20/16973532/mcdonalds-starbucks-kfc-china-pizza-hut-growth-sales,True
Culture,Culture,https://writings.stephenwolfram.com/2017/05/a-new-kind-of-science-a-15-year-view/,False
Culture,Culture,https://web.archive.org/web/20210228032350/https://writings.stephenwolfram.com/2017/05/a-new-kind-of-science-a-15-year-view/,True
Culture,Culture,https://web.archive.org/web/20090123162257/http://philosophy.uncc.edu/mleldrid/SAAP/USC/pbt1.html,True
Culture,Culture,http://philosophy.uncc.edu/mleldrid/SAAP/USC/pbt1.html,False
Culture,Culture,https://search.worldcat.org/oclc/977343058,False
Culture,Culture,https://todayinsci.com/B/Bastian_Adolf/BastianAdolf.htm,False
Culture,Culture,https://web.archive.org/web/20170806215336/https://todayinsci.com/B/Bastian_Adolf/BastianAdolf.htm,True
Culture,Culture,https://web.archive.org/web/20170102111430/http://home.uchicago.edu/~tliron/boas/boas.pdf,True
Culture,Culture,https://search.worldcat.org/oclc/52888196,False
Culture,Culture,http://home.uchicago.edu/~tliron/boas/boas.pdf,False
Culture,Culture,http://library.utoronto.ca/utel/nonfiction_u/arnoldm_ca/ca_all.html,False
Culture,Culture,https://web.archive.org/web/20170106012655/http://library.utoronto.ca/utel/nonfiction_u/arnoldm_ca/ca_all.html,True
Culture,Culture,https://archive.org/details/understandingpop0000shuk_i1i5/page/5,False
Culture,Culture,https://search.worldcat.org/oclc/245910934,False
Culture,Culture,https://search.worldcat.org/oclc/641869481,False
Culture,Culture,https://search.worldcat.org/oclc/980557304,False
Culture,Culture,https://web.archive.org/web/20200122150855/https://lexico.com/definition/anthropology,True
Culture,Culture,http://lexico.com/definition/anthropology,False
Culture,Culture,https://britannica.com/science/anthropology,False
Culture,Culture,https://web.archive.org/web/20161030210125/https://britannica.com/science/anthropology,True
