citation_link,article_name,category,domain,found,archive_url,timestamp
https://search.worldcat.org/oclc/652430995,Culture,Culture,search.worldcat.org,False,,
https://books.google.com/books?id=0zcoaaaaqaaj&pg=pa273,Culture,Culture,books.google.com,True,http://web.archive.org/web/20250712055744/https://books.google.com/books?id=0ZcOAAAAQAAJ,20250712055744.0
https://search.worldcat.org/oclc/457735057,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/47930775,Culture,Culture,search.worldcat.org,False,,
https://archive.org/details/interculturalcom0000sorr,Culture,Culture,archive.org,False,,
https://academia.edu/9294719,Culture,Culture,academia.edu,True,http://web.archive.org/web/20250212184030/https://www.academia.edu/9294719,20250212184030.0
https://search.worldcat.org/oclc/942553107,Culture,Culture,search.worldcat.org,False,,
https://dictionary.cambridge.org/dictionary/english/culture,Culture,Culture,dictionary.cambridge.org,True,http://web.archive.org/web/20250709032654/https://dictionary.cambridge.org/dictionary/english/culture,20250709032654.0
https://doi.org/10.1016%2fbs.aesp.2015.03.001,Culture,Culture,doi.org,False,,
https://books.google.com/books?id=g_9dagaaqbaj,Culture,Culture,books.google.com,True,http://web.archive.org/web/20250712055824/https://books.google.com/books?id=g_9dAgAAQBAJ,20250712055824.0
https://arxiv.org/abs/astro-ph/0406390,Culture,Culture,arxiv.org,False,,
https://doi.org/10.1086%2f426050,Culture,Culture,doi.org,False,,
https://doi.org/10.1016%2fj.anbehav.2006.12.004,Culture,Culture,doi.org,False,,
https://search.worldcat.org/oclc/25410539,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/944339574,Culture,Culture,search.worldcat.org,False,,
https://doi.org/10.1080%2f13668803.2014.981506,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/1366-8803,Culture,Culture,search.worldcat.org,False,,
https://api.semanticscholar.org/corpusid:144448501,Culture,Culture,api.semanticscholar.org,False,,
http://anthro.palomar.edu/change/change_2.htm,Culture,Culture,anthro.palomar.edu,True,http://web.archive.org/web/20170902214313/http://anthro.palomar.edu:80/change/change_2.htm,20170902214313.0
https://doi.org/10.1126%2fscience.282.5393.1446,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/0036-8075,Culture,Culture,search.worldcat.org,False,,
https://api.semanticscholar.org/corpusid:128522781,Culture,Culture,api.semanticscholar.org,False,,
https://eater.com/2018/3/20/16973532/mcdonalds-starbucks-kfc-china-pizza-hut-growth-sales,Culture,Culture,eater.com,True,http://web.archive.org/web/20250712060031/https://www.eater.com/2018/3/20/16973532/mcdonalds-starbucks-kfc-china-pizza-hut-growth-sales,20250712060031.0
https://writings.stephenwolfram.com/2017/05/a-new-kind-of-science-a-15-year-view/,Culture,Culture,writings.stephenwolfram.com,True,http://web.archive.org/web/20250803171327/https://writings.stephenwolfram.com/2017/05/a-new-kind-of-science-a-15-year-view/,20250803171327.0
http://philosophy.uncc.edu/mleldrid/saap/usc/pbt1.html,Culture,Culture,philosophy.uncc.edu,True,http://web.archive.org/web/20181006180754/http://www.philosophy.uncc.edu:80/mleldrid/SAAP/USC/pbt1.html,20181006180754.0
https://search.worldcat.org/oclc/977343058,Culture,Culture,search.worldcat.org,False,,
https://todayinsci.com/b/bastian_adolf/bastianadolf.htm,Culture,Culture,todayinsci.com,False,,
https://search.worldcat.org/oclc/52888196,Culture,Culture,search.worldcat.org,False,,
http://home.uchicago.edu/~tliron/boas/boas.pdf,Culture,Culture,home.uchicago.edu,True,http://web.archive.org/web/20170102111430/http://home.uchicago.edu/~tliron/boas/boas.pdf,20170102111430.0
http://library.utoronto.ca/utel/nonfiction_u/arnoldm_ca/ca_all.html,Culture,Culture,library.utoronto.ca,True,http://web.archive.org/web/20171116094516/http://www.library.utoronto.ca:80/utel/nonfiction_u/arnoldm_ca/ca_all.html,20171116094516.0
https://archive.org/details/understandingpop0000shuk_i1i5/page/5,Culture,Culture,archive.org,False,,
https://search.worldcat.org/oclc/245910934,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/641869481,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/980557304,Culture,Culture,search.worldcat.org,False,,
http://lexico.com/definition/anthropology,Culture,Culture,lexico.com,True,http://web.archive.org/web/20220824061616/https://www.lexico.com/definition/anthropology,20220824061616.0
https://britannica.com/science/anthropology,Culture,Culture,britannica.com,True,http://web.archive.org/web/20250910095526/https://www.britannica.com/science/anthropology,20250910095526.0
http://americananthro.org/advanceyourcareer/content.aspx?itemnumber=2150,Culture,Culture,americananthro.org,True,http://web.archive.org/web/20230608123535/https://www.americananthro.org/AdvanceYourCareer/Content.aspx?ItemNumber=2150,20230608123535.0
https://search.worldcat.org/oclc/731048150,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/921994909,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/951272809,Culture,Culture,search.worldcat.org,False,,
https://doi.org/10.2307%2f271027,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/0081-1750,Culture,Culture,search.worldcat.org,False,,
https://jstor.org/stable/271027,Culture,Culture,jstor.org,True,http://web.archive.org/web/20250712060418/https://www.jstor.org/stable/271027,20250712060418.0
https://archive.org/details/karlmarxhislifee00berl/page/130,Culture,Culture,archive.org,False,,
https://search.worldcat.org/oclc/611127754,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/906396817,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/780459348,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/937991291,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/883364628,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/872436352,Culture,Culture,search.worldcat.org,False,,
http://thepress.purdue.edu/series/comparative-cultural-studies,Culture,Culture,thepress.purdue.edu,False,,
https://archive.today/20120805230001/http://thepress.purdue.edu/series/comparative-cultural-studies,Culture,Culture,archive.today,False,,
https://archive.org/details/qualitativecommu00lind/page/60,Culture,Culture,archive.org,False,,
https://search.worldcat.org/oclc/780825710,Culture,Culture,search.worldcat.org,False,,
https://thecanadianencyclopedia.ca/en/article/marxism,Culture,Culture,thecanadianencyclopedia.ca,False,,
https://books.google.com/books?id=gx-kksnndfic,Culture,Culture,books.google.com,True,http://web.archive.org/web/20250712060750/https://books.google.com/books?id=gX-kksNNdFIC,20250712060750.0
https://search.worldcat.org/oclc/949857570,Culture,Culture,search.worldcat.org,False,,
https://oxfordbibliographies.com/view/document/obo-9780190221911/obo-9780190221911-0063.xml,Culture,Culture,oxfordbibliographies.com,True,http://web.archive.org/web/20221016020647/https://www.oxfordbibliographies.com/view/document/obo-9780190221911/obo-9780190221911-0063.xml,20221016020647.0
https://doi.org/10.1016%2fj.socec.2013.02.011,Culture,Culture,doi.org,False,,
https://books.google.com/books?id=zp0vrobb_c4c&dq=%22super+culture%22+definition&pg=pa105,Culture,Culture,books.google.com,False,,
https://books.google.com/books?id=46oyhkjzr4ac&dq=%22super+culture%22+rave&pg=pa437,Culture,Culture,books.google.com,False,,
http://comikazeexpo.com/wp-content/uploads/2012/09/comikaze-panel-schedule-saturday-9-1.15.121.pdf,Culture,Culture,comikazeexpo.com,True,http://web.archive.org/web/20121020155343/http://comikazeexpo.com/wp-content/uploads/2012/09/Comikaze-Panel-Schedule-Saturday-9-1.15.121.pdf,20121020155343.0
https://doi.org/10.1002%2fwcs.7,Culture,Culture,doi.org,False,,
https://search.worldcat.org/oclc/911004797,Culture,Culture,search.worldcat.org,False,,
https://pubmed.ncbi.nlm.nih.gov/26271239,Culture,Culture,pubmed.ncbi.nlm.nih.gov,True,http://web.archive.org/web/20250712061023/https://pubmed.ncbi.nlm.nih.gov/26271239/,20250712061023.0
https://search.worldcat.org/oclc/667213323,Culture,Culture,search.worldcat.org,False,,
https://doi.org/10.1037%2f0033-2909.131.5.763,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/0033-2909,Culture,Culture,search.worldcat.org,False,,
https://pubmed.ncbi.nlm.nih.gov/16187859,Culture,Culture,pubmed.ncbi.nlm.nih.gov,True,http://web.archive.org/web/20250829193627/https://pubmed.ncbi.nlm.nih.gov/16187859/,20250829193627.0
https://doi.org/10.1037%2f0012-1649.35.2.466,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/1939-0599,Culture,Culture,search.worldcat.org,False,,
https://pubmed.ncbi.nlm.nih.gov/10082017,Culture,Culture,pubmed.ncbi.nlm.nih.gov,True,http://web.archive.org/web/20250712061203/https://pubmed.ncbi.nlm.nih.gov/10082017/,20250712061203.0
https://doi.org/10.1177%2f0022022196272003,Culture,Culture,doi.org,False,,
https://api.semanticscholar.org/corpusid:145134209,Culture,Culture,api.semanticscholar.org,False,,
https://doi.org/10.1002%2f9780470996652.ch3,Culture,Culture,doi.org,False,,
https://doi.org/10.1177%2f0022022101032004004,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/0022-0221,Culture,Culture,search.worldcat.org,False,,
https://api.semanticscholar.org/corpusid:40475406,Culture,Culture,api.semanticscholar.org,False,,
https://drrobertepstein.com/pdf/epstein-the_myth_of_the_teen_brain-scientific_american_mind-4-07.pdf,Culture,Culture,drrobertepstein.com,True,http://web.archive.org/web/20250712061300/https://drrobertepstein.com/pdf/Epstein-THE_MYTH_OF_THE_TEEN_BRAIN-Scientific_American_Mind-4-07.pdf,20250712061300.0
https://ui.adsabs.harvard.edu/abs/2007sciam..17...68e,Culture,Culture,ui.adsabs.harvard.edu,True,http://web.archive.org/web/20230409032807/https://ui.adsabs.harvard.edu/abs/2007SciAm..17...68E,20230409032807.0
https://doi.org/10.1038%2fscientificamerican0607-68sp,Culture,Culture,doi.org,False,,
https://jstor.org/stable/24939607,Culture,Culture,jstor.org,True,http://web.archive.org/web/20250712061315/https://www.jstor.org/stable/24939607,20250712061315.0
https://theconversation.com/why-its-time-to-lay-the-stereotype-of-the-teen-brain-to-rest-85888,Culture,Culture,theconversation.com,True,http://web.archive.org/web/20250712061315/https://theconversation.com/why-its-time-to-lay-the-stereotype-of-the-teen-brain-to-rest-85888,20250712061315.0
https://psychologytoday.com/articles/199501/the-invention-adolescence,Culture,Culture,psychologytoday.com,False,,
https://eric.ed.gov/?id=ej482132,Culture,Culture,eric.ed.gov,True,http://web.archive.org/web/20250804012026/https://eric.ed.gov/?id=EJ482132,20250804012026.0
https://doi.org/10.1177%2f0272431694014001002,Culture,Culture,doi.org,False,,
https://api.semanticscholar.org/corpusid:145165641,Culture,Culture,api.semanticscholar.org,False,,
https://books.google.com/books?id=oenf1j45ss0c,Culture,Culture,books.google.com,True,http://web.archive.org/web/20250826165428/https://books.google.com/books?id=OENf1J45SS0C,20250826165428.0
https://doi.org/10.2307%2f349302,Culture,Culture,doi.org,False,,
https://jstor.org/stable/349302,Culture,Culture,jstor.org,True,http://web.archive.org/web/20250712061404/https://www.jstor.org/stable/349302,20250712061404.0
http://help.fortroubledteens.com/the-danger-of-treating-teens-like-children.html,Culture,Culture,help.fortroubledteens.com,True,http://web.archive.org/web/20250712061430/http://help.fortroubledteens.com/the-danger-of-treating-teens-like-children.html,20250712061430.0
https://scientificamerican.com/article/are-teens-who-behave-reck/,Culture,Culture,scientificamerican.com,True,http://web.archive.org/web/20250712061420/https://www.scientificamerican.com/article/are-teens-who-behave-reck/,20250712061420.0
https://huffingtonpost.com/david-moshman/adolescents-and-their-tee_b_858360.html,Culture,Culture,huffingtonpost.com,True,http://web.archive.org/web/20170704235042/http://www.huffingtonpost.com/david-moshman/adolescents-and-their-tee_b_858360.html,20170704235042.0
http://portal.unesco.org/en/ev.php-url_id=15207&url_do=do_topic&url_section=201.html,Culture,Culture,portal.unesco.org,False,,
https://krone.at/1911689,Culture,Culture,krone.at,True,http://web.archive.org/web/20250812124830/https://www.krone.at/1911689,20250812124830.0
https://doi.org/10.1177%2f146879702761936653,Culture,Culture,doi.org,False,,
https://api.semanticscholar.org/corpusid:55744323,Culture,Culture,api.semanticscholar.org,False,,
https://doi.org/10.1177%2f1467358415610373,Culture,Culture,doi.org,False,,
