citation_link,article_name,category,domain,found,archive_url,timestamp
https://search.worldcat.org/oclc/652430995,Culture,Culture,search.worldcat.org,False,,
https://books.google.com/books?id=0ZcOAAAAQAAJ&pg=PA273,Culture,Culture,books.google.com,True,http://web.archive.org/web/20250712055744/https://books.google.com/books?id=0ZcOAAAAQAAJ,20250712055744
https://search.worldcat.org/oclc/457735057,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/47930775,Culture,Culture,search.worldcat.org,False,,
https://archive.org/details/interculturalcom0000sorr,Culture,Culture,archive.org,False,,
https://academia.edu/9294719,Culture,Culture,academia.edu,True,http://web.archive.org/web/20250212184030/https://www.academia.edu/9294719,20250212184030
https://search.worldcat.org/oclc/942553107,Culture,Culture,search.worldcat.org,False,,
https://dictionary.cambridge.org/dictionary/english/culture,Culture,Culture,dictionary.cambridge.org,True,http://web.archive.org/web/20250709032654/https://dictionary.cambridge.org/dictionary/english/culture,20250709032654
https://doi.org/10.1016%2Fbs.aesp.2015.03.001,Culture,Culture,doi.org,False,,
https://books.google.com/books?id=g_9dAgAAQBAJ,Culture,Culture,books.google.com,True,http://web.archive.org/web/20250712055824/https://books.google.com/books?id=g_9dAgAAQBAJ,20250712055824
https://arxiv.org/abs/astro-ph/0406390,Culture,Culture,arxiv.org,False,,
https://doi.org/10.1086%2F426050,Culture,Culture,doi.org,False,,
https://doi.org/10.1016%2Fj.anbehav.2006.12.004,Culture,Culture,doi.org,False,,
https://search.worldcat.org/oclc/25410539,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/944339574,Culture,Culture,search.worldcat.org,False,,
https://doi.org/10.1080%2F13668803.2014.981506,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/1366-8803,Culture,Culture,search.worldcat.org,False,,
https://api.semanticscholar.org/CorpusID:144448501,Culture,Culture,api.semanticscholar.org,False,,
http://anthro.palomar.edu/change/change_2.htm,Culture,Culture,anthro.palomar.edu,True,http://web.archive.org/web/20170902214313/http://anthro.palomar.edu:80/change/change_2.htm,20170902214313
https://doi.org/10.1126%2Fscience.282.5393.1446,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/0036-8075,Culture,Culture,search.worldcat.org,False,,
https://api.semanticscholar.org/CorpusID:128522781,Culture,Culture,api.semanticscholar.org,False,,
https://eater.com/2018/3/20/16973532/mcdonalds-starbucks-kfc-china-pizza-hut-growth-sales,Culture,Culture,eater.com,True,http://web.archive.org/web/20250712060031/https://www.eater.com/2018/3/20/16973532/mcdonalds-starbucks-kfc-china-pizza-hut-growth-sales,20250712060031
https://writings.stephenwolfram.com/2017/05/a-new-kind-of-science-a-15-year-view/,Culture,Culture,writings.stephenwolfram.com,True,http://web.archive.org/web/20250803171327/https://writings.stephenwolfram.com/2017/05/a-new-kind-of-science-a-15-year-view/,20250803171327
http://philosophy.uncc.edu/mleldrid/SAAP/USC/pbt1.html,Culture,Culture,philosophy.uncc.edu,True,http://web.archive.org/web/20181006180754/http://www.philosophy.uncc.edu:80/mleldrid/SAAP/USC/pbt1.html,20181006180754
https://search.worldcat.org/oclc/977343058,Culture,Culture,search.worldcat.org,False,,
https://todayinsci.com/B/Bastian_Adolf/BastianAdolf.htm,Culture,Culture,todayinsci.com,False,,
https://search.worldcat.org/oclc/52888196,Culture,Culture,search.worldcat.org,False,,
http://home.uchicago.edu/~tliron/boas/boas.pdf,Culture,Culture,home.uchicago.edu,True,http://web.archive.org/web/20170102111430/http://home.uchicago.edu/~tliron/boas/boas.pdf,20170102111430
http://library.utoronto.ca/utel/nonfiction_u/arnoldm_ca/ca_all.html,Culture,Culture,library.utoronto.ca,True,http://web.archive.org/web/20171116094516/http://www.library.utoronto.ca:80/utel/nonfiction_u/arnoldm_ca/ca_all.html,20171116094516
https://archive.org/details/understandingpop0000shuk_i1i5/page/5,Culture,Culture,archive.org,False,,
https://search.worldcat.org/oclc/245910934,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/641869481,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/980557304,Culture,Culture,search.worldcat.org,False,,
http://lexico.com/definition/anthropology,Culture,Culture,lexico.com,True,http://web.archive.org/web/20220824061616/https://www.lexico.com/definition/anthropology,20220824061616
https://britannica.com/science/anthropology,Culture,Culture,britannica.com,True,http://web.archive.org/web/20250910095526/https://www.britannica.com/science/anthropology,20250910095526
http://americananthro.org/AdvanceYourCareer/Content.aspx?ItemNumber=2150,Culture,Culture,americananthro.org,True,http://web.archive.org/web/20230608123535/https://www.americananthro.org/AdvanceYourCareer/Content.aspx?ItemNumber=2150,20230608123535
https://search.worldcat.org/oclc/731048150,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/921994909,Culture,Culture,search.worldcat.org,False,,
https://search.worldcat.org/oclc/951272809,Culture,Culture,search.worldcat.org,False,,
https://doi.org/10.2307%2F271027,Culture,Culture,doi.org,False,,
https://search.worldcat.org/issn/0081-1750,Culture,Culture,search.worldcat.org,False,,
